"filename", "language", "Python", "JavaScript", "Markdown", "XML", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\anshg\PycharmProjects\eHacks2020\backend\app.py", "Python", 143, 0, 0, 0, 0, 0, 0, 2, 16, 161
"c:\Users\anshg\PycharmProjects\eHacks2020\backend\countryCode.py", "Python", 16, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\anshg\PycharmProjects\eHacks2020\backend\db.py", "Python", 134, 0, 0, 0, 0, 0, 0, 0, 13, 147
"c:\Users\anshg\PycharmProjects\eHacks2020\backend\ipchecker.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 9, 25
"c:\Users\anshg\PycharmProjects\eHacks2020\backend\timestamp.py", "Python", 36, 0, 0, 0, 0, 0, 0, 10, 11, 57
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\README.md", "Markdown", 0, 0, 37, 0, 0, 0, 0, 0, 32, 69
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\App.css", "CSS", 0, 0, 0, 0, 144, 0, 0, 0, 22, 166
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\App.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 7, 127
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\App.test.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\MapContainer.js", "JavaScript", 0, 230, 0, 0, 0, 0, 0, 0, 23, 253
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\MapContainer2.js", "JavaScript", 0, 246, 0, 0, 0, 0, 0, 0, 24, 270
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\global.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\history.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 3, 19
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\logo.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\screens\AskPage.css", "CSS", 0, 0, 0, 0, 86, 0, 0, 0, 10, 96
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\screens\AskPage.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 9, 135
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\secrets.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\serviceWorker.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"c:\Users\anshg\PycharmProjects\eHacks2020\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\anshg\PycharmProjects\eHacks2020\readme.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 13, 42
"Total", "-", 345, 848, 66, 7, 242, 25, 20, 74, 218, 1845
